,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
41,Earth (399),2460913.806558222,A.D. 2025-Aug-26 07:21:26.6304,0.9002189906556647,-0.4592163347710442,2.350652098437185e-05,0.007538299234640672,0.01526772234855653,-3.429488503683394e-07,0.005836628851582063,1.010580958563049,-0.0002227108823810122
42,Earth (399),2460913.807722222,A.D. 2025-Aug-26 07:23:07.2000,0.9002277650600958,-0.4591985630531735,2.350612175364666e-05,0.007537997022364538,0.01526787533457669,-3.430145941664524e-07,0.0058366273543466,1.010580699324765,-0.0002227157220131444
43,Earth (399),2460913.808886222,A.D. 2025-Aug-26 07:24:47.7696,0.9002365391127395,-0.4591807911572516,2.350572244637264e-05,0.007537694807029942,0.01526802831434831,-3.430803751402346e-07,0.005836625857078606,1.010580440080848,-0.0002227205613354426
44,Earth (399),2460913.810051222,A.D. 2025-Aug-26 07:26:28.4256,0.9002453203509982,-0.459163003815078,2.350532271942475e-05,0.007537392328997515,0.01526818141928947,-3.431462498400793e-07,0.005836624358491724,1.010580180608574,-0.0002227254045049724
45,Earth (399),2460913.813879222,A.D. 2025-Aug-26 07:31:59.1648,0.9002741715864905,-0.4591045562537774,2.350400874088149e-05,0.007536398413943276,0.01526868445308355,-3.433629654533903e-07,0.0058366194341502,1.010579327985269,-0.0002227413161839757
46,Earth (399),2460913.815043222,A.D. 2025-Aug-26 07:33:39.7344,0.9002829437783445,-0.4590867834160609,2.350360902797834e-05,0.007536096182432379,0.01526883739980396,-3.434289429618729e-07,0.005836617936710149,1.010579068711561,-0.0002227461538667112
47,Earth (399),2460913.816207222,A.D. 2025-Aug-26 07:35:20.3040,0.9002917156183995,-0.459069010400318,2.350320923825243e-05,0.007535793947863954,0.01526899034027585,-3.434949576070391e-07,0.005836616439237576,1.010578809432223,-0.0002227509912393315
48,Earth (399),2460913.817370222,A.D. 2025-Aug-26 07:37:00.7872,0.900300479571157,-0.4590512524757049,2.350280971525214e-05,0.007535491969893925,0.01526914314311504,-3.435609526261277e-07,0.005836614943019017,1.01057855037001,-0.0002227558241463811
49,Earth (399),2460913.818529222,A.D. 2025-Aug-26 07:38:40.9248,0.9003092130319597,-0.459033555450549,2.350241148997122e-05,0.007535191027504688,0.01526929541420156,-3.436267575349016e-07,0.005836613451914225,1.010578292193218,-0.0002227606401231601
50,Earth (399),2460913.819688222,A.D. 2025-Aug-26 07:40:21.0624,0.9003179461439584,-0.4590158582489355,2.350201318844028e-05,0.007534890082085097,0.01526944767909287,-3.436925992459054e-07,0.005836611960777201,1.010578034010846,-0.0002227654557923472
